timestamp,price,market_cap,total_volume
1604016201216,13448.3759052562,249070104706.91,22770674630.4742
1604016454940,13432.1103286715,248889106309.409,22780053519.0902
1604016821947,13376.0867765856,248889106309.409,22716528572.8373
1604017154355,13395.0159854741,248889106309.409,22791648187.2009
1604017321219,13390.8680073068,248201769941.435,22791584557.4308
1604017838899,13405.0996538036,248201769941.435,22822298647.3781
1604018084484,13425.3017718522,248389123780.171,22868521022.2889
1604018262582,13429.4792868568,248389123780.171,22928123253.9633
1604018701653,13453.4573699596,249097475773.376,23001097809.9301
1604018947832,13466.5653275595,249528048908.748,23025777980.3052
1604019319896,13588.7329740925,249528048908.748,23310482104.607
1604019574884,13587.9421512039,251777094693.625,23435729318.5355
1604019717343,13578.2116842575,251777094693.625,23405809637.2668
1604020127098,13592.2192035711,251856346121.61,23380810723.3693
1604020400359,13606.6242422257,251856346121.61,23411911606.4465
1604020753713,13621.2619910692,252394574727.99,23569785446.3504
1604021036483,13599.41725646,252394574727.99,23649259803.5282
1604021321335,13588.1533566421,251781089743.152,23645840107.266
1604021705261,13572.5506674428,251781089743.152,23538406802.3666
1604021914934,13561.0050674455,251278128079.039,23578611954.1991
1604022259772,13559.690171043,251278128079.039,23591890107.2009
1604022624390,13574.4779735834,251442270003.053,23618739503.8867
1604022807555,13566.4602120324,251442270003.053,23643765553.7899
1604023124252,13562.1635747332,251299675968.784,23566633260.7812
1604023244645,13565.3603810175,251299675968.784,23571349385.0777
1604023745492,13559.248224745,251245656084.47,23553208352.2069
1604024051611,13553.5940772169,251245656084.47,23519480804.4529
1604024315845,13553.7555099863,251143879002.114,23554404525.5984
1604024673666,13539.3064592116,251143879002.114,23545593197.6754
1604024938583,13528.5824148509,250677610812.914,23460785792.0704
1604025104170,13535.0389893229,250677610812.914,23540531307.4889
1604025544914,13526.8754997001,250646063722.312,23501308759.9857
1604025860773,13497.3737675979,250646063722.312,23523904801.2238
1604026194233,13515.6333682216,250437833887.028,23571748226.0976
1604026404909,13506.6593607041,250437833887.028,23595832836.0738
1604026743666,13463.59474336,249473678797.089,23563631189.6402
1604026827656,13461.6381240891,249473678797.089,23581782268.6359
1604027352044,13489.9782889312,249962795524.36,23598485747.2924
1604027674867,13485.1567457529,249962795524.36,23629481826.0627
1604027934559,13462.4917903618,249453483954.362,23600766672.7108
1604028249710,13474.9079534085,249453483954.362,23600172357.1131
1604028578710,13482.1523176472,249817959316.565,23614173781.5188
1604028751006,13481.6476408313,249817959316.565,23637549509.008
1604029232696,13494.5170526902,250197043847.08,23699378902.1941
1604029430267,13473.9097707536,250197043847.08,23646102347.6957
1604029699878,13452.5957810626,249270546154.988,23635144693.7907
1604030059851,13428.7940567183,249270546154.988,23586970834.7564
1604030403950,13418.8193119142,248644683381.079,23617964491.527
1604030576128,13433.9291631387,248644683381.079,23660863130.5193
1604031018375,13452.374855547,249196511634.809,23589940070.1592
1604031247624,13454.3790124223,249196511634.809,23612477372.7998
1604031524939,13390.8817564402,248127173740.628,23512446775.8027
1604031834895,13413.0139467738,248127173740.628,23584954617.0114
1604032114348,13422.4733425195,248712551993.562,23617476558.9722
1604032492218,13436.9908284359,248712551993.562,23621019807.9882
1604032711100,13453.2088305464,249282147843.809,23647316505.3942
1604033037976,13442.9791757459,249282147843.809,23613222921.8185
1604033470992,13416.6020663091,248718030494.275,23557104765.4763
1604033621248,13421.1977393962,248718030494.275,23572273428.6597
1604033982519,13421.8895070387,248701814309.161,23567840719.4499
1604034148354,13419.0133881505,248701814309.161,23551456744.1686
1604034553439,13485.8688707392,249887324279.444,23676844256.8836
1604034880133,13482.7895044004,249887324279.444,23665723805.2169
1604035207182,13455.5809348334,249326196100.565,23647613054.7828
1604035378220,13447.7384303182,249326196100.565,23609737174.9996
1604035824127,13384.3019181523,248177968917.067,23531687089.674
1604036002298,13384.0556468559,248177968917.067,23544502283.9315
1604036399223,13352.858430548,247423032104.674,23559209268.3845
1604036602733,13329.5154354446,247423032104.674,23560044954.9676
1604037034848,13312.9455004483,246670374184.951,23659053554.7852
1604037189953,13298.4927938522,246670374184.951,23620029942.3569
1604037591526,13220.8588884101,244977385508.991,23679887157.0071
1604037742375,13179.9830848458,244977385508.991,23664734521.2752
1604038100497,13179.8059644485,244216690756.517,23745289004.9683
1604038441368,13225.4200142461,244216690756.517,23905588557.0557
1604038785769,13220.0194571939,244961910494.37,23935732488.3136
1604039039105,13210.9613254842,244961910494.37,23947834766.9336
1604039376844,13192.7629850571,244961910494.37,24038085922.4059
1604039684570,13219.1080920094,244456858477.648,24113871888.9067
1604039965491,13212.8595662943,244829412218.254,24151864558.6298
1604040276269,13224.2205503776,244829412218.254,24203755262.5527
1604040590005,13241.7956344929,245365586884.564,24268013560.4977
1604040866027,13235.1447898368,245365586884.564,24217148150.9962
1604041157274,13217.4110334885,244913749225.871,24216529866.0478
1604041453170,13196.68479168,244913749225.871,24169458688.9246
1604041806758,13188.4767120447,244377765188.003,24157992523.6496
1604041993558,13207.1611115471,244377765188.003,24199273198.5306
1604042389175,13158.1675399369,243816147049.22,24170048056.0283
1604042589920,13165.5203462332,243816147049.22,24208894977.6595
1604043055602,13145.0906076065,243439108755.976,24221313795.4109
1604043226507,13165.082343429,243439108755.976,24288802339.5675
1604043528139,13223.0220572455,245017878101.884,24457637749.6229
1604043842522,13255.0248216447,245017878101.884,24559489811.2452
1604044233857,13239.8844257814,245357854230.787,24548816175.8484
1604044412899,13223.0020927464,245357854230.787,24528375873.1635
1604044830968,13205.8864034761,244991840427.482,24445525522.1359
